Threshold,TN,FP,FN,TP,Total Cost
0.1,28339,16800,1501,4430,486100000
0.15000000000000002,36156,8983,2577,3354,437360000
0.20000000000000004,40022,5117,3442,2489,446540000
0.25000000000000006,42160,2979,4115,1816,471080000
0.30000000000000004,43397,1742,4620,1311,496840000
0.3500000000000001,44144,995,4990,941,518900000
0.40000000000000013,44579,560,5278,653,539000000
0.45000000000000007,44838,301,5488,443,554820000
0.5000000000000001,44964,175,5638,293,567300000
0.5500000000000002,45044,95,5743,188,576200000
0.6000000000000002,45101,38,5811,120,581860000
0.6500000000000001,45122,17,5865,66,586840000
0.7000000000000002,45132,7,5902,29,590340000
0.7500000000000002,45138,1,5916,15,591620000
0.8000000000000002,45139,0,5929,2,592900000
0.8500000000000002,45139,0,5931,0,593100000
0.9000000000000002,45139,0,5931,0,593100000
